排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,8,3028,12550,8
2,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,2,3027,3141,2
3,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,4,3026,6280,4
4,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,4,3025,6269,4
5,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,8,3023,12556,8
6,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,4,3017,6278,4
7,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,4,3004,6223,4
8,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.90GHz,128,2993,199896,128
9,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,64,2992,13071,64
10,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.90GHz,8,2988,12447,8
11,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,64,2984,13021,64
12,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,64,2982,13314,64
13,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,2,2980,3124,2
14,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,64,2977,13994,64
15,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,64,2977,13183,64
16,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,64,2976,13368,64
17,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,32,2973,2131,32
18,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,32,2971,2169,32
19,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,2,2968,3117,2
20,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,32,2966,2145,32
21,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,32,2961,2181,32
22,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,2,2959,3126,2
23,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,128,2956,194986,128
24,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,32,2954,2135,32
25,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,32,2953,3649,32
26,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,2,2949,3125,2
27,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,32,2948,2051,32
28,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,16,2948,24943,16
29,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,32,2948,2119,32
30,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,32,2945,3584,32
31,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,64,2944,14024,64
32,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,64,2942,15027,64
33,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,2,2941,3124,2
34,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,64,2938,16277,64
35,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,64,2905,16910,64
36,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.90GHz,2,2735,3015,2
37,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.70GHz,2,2581,2859,2
38,Intel(R) Xeon(R) Platinum 8369B CPU @ 2.90GHz,2,2501,2670,2
