排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Opteron(TM) Processor 6272,2,1021,22347,32
2,AMD Opteron(TM) Processor 6272,2,1025,22259,32
3,AMD Opteron(TM) Processor 6272,32,764,22195,32
4,AMD Opteron(TM) Processor 6272,32,766,21994,32
5,AMD Opteron(TM) Processor 6272,2,837,20593,32
6,AMD Opteron(TM) Processor 6272,16,838,12460,16
7,AMD Opteron(TM) Processor 6272,16,769,11689,16
8,AMD Opteron(TM) Processor 6272,16,779,11352,16
9,AMD Opteron(TM) Processor 6272,16,770,10048,16
10,AMD Opteron(TM) Processor 6272,16,760,9718,16
11,AMD Opteron(TM) Processor 6272,8,826,6422,8
12,AMD Opteron(TM) Processor 6272,8,802,6361,8
13,AMD Opteron(TM) Processor 6272,8,760,6167,8
14,AMD Opteron(TM) Processor 6272,8,784,6140,8
15,AMD Opteron(TM) Processor 6272,8,795,6124,8
16,AMD Opteron(TM) Processor 6272,8,785,6108,8
17,AMD Opteron(TM) Processor 6272,8,790,6091,8
18,AMD Opteron(TM) Processor 6272,8,765,5984,8
19,AMD Opteron(TM) Processor 6272,8,774,5977,8
20,AMD Opteron(TM) Processor 6272,8,776,5966,8
21,AMD Opteron(TM) Processor 6272,4,818,3257,4
22,AMD Opteron(TM) Processor 6272,4,818,3255,4
23,AMD Opteron(TM) Processor 6272,4,778,3100,4
24,AMD Opteron(TM) Processor 6272,4,799,3075,4
25,AMD Opteron(TM) Processor 6272,4,798,3065,4
26,AMD Opteron(TM) Processor 6272,4,789,3052,4
27,AMD Opteron(TM) Processor 6272,4,748,2714,4
28,AMD Opteron(TM) Processor 6272,4,773,2621,4
29,AMD Opteron(TM) Processor 6272,2,859,1685,2
30,AMD Opteron(TM) Processor 6272,2,841,1662,2
31,AMD Opteron(TM) Processor 6272,2,803,1600,2
32,AMD Opteron(TM) Processor 6272,2,861,1592,2
33,AMD Opteron(TM) Processor 6272,2,797,1591,2
34,AMD Opteron(TM) Processor 6272,2,804,1589,2
35,AMD Opteron(TM) Processor 6272,2,799,1588,2
36,AMD Opteron(TM) Processor 6272,2,807,1584,2
37,AMD Opteron(TM) Processor 6272,2,810,1584,2
38,AMD Opteron(TM) Processor 6272,2,802,1575,2
39,AMD Opteron(TM) Processor 6272,2,788,1571,2
40,AMD Opteron(TM) Processor 6272,2,787,1568,2
41,AMD Opteron(TM) Processor 6272,2,803,1552,2
42,AMD Opteron(TM) Processor 6272,2,831,1537,2
43,AMD Opteron(TM) Processor 6272,2,780,1535,2
44,AMD Opteron(TM) Processor 6272,2,783,1522,2
45,AMD Opteron(TM) Processor 6272,2,792,1517,2
46,AMD Opteron(TM) Processor 6272,2,777,1508,2
47,AMD Opteron(TM) Processor 6272,2,800,1472,2
48,AMD Opteron(TM) Processor 6272,2,771,1423,2
