排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 5800H with Radeon Graphics,2,5030,9834,2
2,AMD Ryzen 7 5800H with Radeon Graphics,2,5021,10020,2
3,AMD Ryzen 7 5800H with Radeon Graphics,2,5020,10003,2
4,AMD Ryzen 7 5800H with Radeon Graphics,1,5019,41856,16
5,AMD Ryzen 7 5800H with Radeon Graphics,4,5014,18840,4
6,AMD Ryzen 7 5800H with Radeon Graphics,2,5014,9735,2
7,AMD Ryzen 7 5800H with Radeon Graphics,4,4999,15718,4
8,AMD Ryzen 7 5800H with Radeon Graphics,2,4983,9885,2
9,AMD Ryzen 7 5800H with Radeon Graphics,8,4980,35166,8
10,AMD Ryzen 7 5800H with Radeon Graphics,4,4962,19592,4
11,AMD Ryzen 7 5800H with Radeon Graphics,2,4943,9598,2
12,AMD Ryzen 7 5800H with Radeon Graphics,16,4941,40253,16
13,AMD Ryzen 7 5800H with Radeon Graphics,16,4931,40061,16
14,AMD Ryzen 7 5800H with Radeon Graphics,8,4900,28585,8
15,AMD Ryzen 7 5800H with Radeon Graphics,8,4897,20857,8
16,AMD Ryzen 7 5800H with Radeon Graphics,1,4896,40188,16
17,AMD Ryzen 7 5800H with Radeon Graphics,1,4889,40839,16
18,AMD Ryzen 7 5800H with Radeon Graphics,16,4883,40639,16
19,AMD Ryzen 7 5800H with Radeon Graphics,4,4878,18325,4
20,AMD Ryzen 7 5800H with Radeon Graphics,1,4877,36513,16
21,AMD Ryzen 7 5800H with Radeon Graphics,16,4875,40161,16
22,AMD Ryzen 7 5800H with Radeon Graphics,4,4870,13673,4
23,AMD Ryzen 7 5800H with Radeon Graphics,2,4864,9298,2
24,AMD Ryzen 7 5800H with Radeon Graphics,8,4852,30421,8
25,AMD Ryzen 7 5800H with Radeon Graphics,1,4849,41447,16
26,AMD Ryzen 7 5800H with Radeon Graphics,1,4843,34202,16
27,AMD Ryzen 7 5800H with Radeon Graphics,1,4843,36318,16
28,AMD Ryzen 7 5800H with Radeon Graphics,1,4839,36575,16
29,AMD Ryzen 7 5800H with Radeon Graphics,16,4837,38783,16
30,AMD Ryzen 7 5800H with Radeon Graphics,1,4834,35092,16
31,AMD Ryzen 7 5800H with Radeon Graphics,1,4832,34131,16
32,AMD Ryzen 7 5800H with Radeon Graphics,2,4832,9132,2
33,AMD Ryzen 7 5800H with Radeon Graphics,1,4829,34360,16
34,AMD Ryzen 7 5800H with Radeon Graphics,2,4824,9491,2
35,AMD Ryzen 7 5800H with Radeon Graphics,1,4810,34948,16
36,AMD Ryzen 7 5800H with Radeon Graphics,1,4809,40223,16
37,AMD Ryzen 7 5800H with Radeon Graphics,16,4799,39022,16
38,AMD Ryzen 7 5800H with Radeon Graphics,1,4786,35145,16
39,AMD Ryzen 7 5800H with Radeon Graphics,1,4774,39591,16
40,AMD Ryzen 7 5800H with Radeon Graphics,1,4759,38997,16
41,AMD Ryzen 7 5800H with Radeon Graphics,2,4759,9398,2
42,AMD Ryzen 7 5800H with Radeon Graphics,16,4749,40102,16
43,AMD Ryzen 7 5800H with Radeon Graphics,16,4732,18806,16
44,AMD Ryzen 7 5800H with Radeon Graphics,2,4723,9330,2
45,AMD Ryzen 7 5800H with Radeon Graphics,16,4721,19144,16
46,AMD Ryzen 7 5800H with Radeon Graphics,16,4718,20000,16
47,AMD Ryzen 7 5800H with Radeon Graphics,16,4668,38488,16
48,AMD Ryzen 7 5800H with Radeon Graphics,16,4654,31887,16
49,AMD Ryzen 7 5800H with Radeon Graphics,1,4630,39903,16
50,AMD Ryzen 7 5800H with Radeon Graphics,16,4619,34458,16
51,AMD Ryzen 7 5800H with Radeon Graphics,16,4619,34900,16
52,AMD Ryzen 7 5800H with Radeon Graphics,16,4577,38606,16
53,AMD Ryzen 7 5800H with Radeon Graphics,4,4572,16896,4
54,AMD Ryzen 7 5800H with Radeon Graphics,16,4540,33502,16
55,AMD Ryzen 7 5800H with Radeon Graphics,8,4508,26790,8
56,AMD Ryzen 7 5800H with Radeon Graphics,9,4491,26570,9
57,AMD Ryzen 7 5800H with Radeon Graphics,4,4414,15751,4
58,AMD Ryzen 7 5800H with Radeon Graphics,1,4376,35985,16
59,AMD Ryzen 7 5800H with Radeon Graphics,16,3582,31616,16
60,AMD Ryzen 7 5800H with Radeon Graphics,16,3555,29315,16
