排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,8,1053,7075,8
2,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,8,1052,7055,8
3,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1083,3690,4
4,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1057,3605,4
5,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1055,3531,4
6,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1053,3526,4
7,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1054,3523,4
8,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1056,3504,4
9,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1025,3470,4
10,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1053,3456,4
11,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1114,3356,4
12,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1109,3340,4
13,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1107,3316,4
14,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,4,1082,3236,4
15,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1083,1829,2
16,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1090,1828,2
17,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,16,1047,1772,16
18,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1051,1764,2
19,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1047,1753,2
20,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1046,1753,2
21,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1050,1751,2
22,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1042,1744,2
23,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1030,1729,2
24,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1040,1714,2
25,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1038,1702,2
26,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1102,1677,2
27,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1102,1675,2
28,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1107,1658,2
29,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1081,1640,2
30,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1086,1597,2
31,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,2,1017,1217,2
32,Intel(R) Xeon(R) Platinum 8361HC CPU @ 2.60GHz,1,1044,1044,1
