排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3421,6093,2
2,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3415,6545,2
3,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3414,6818,2
4,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,16,3412,54329,16
5,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3410,13299,4
6,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3410,6754,2
7,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3410,6670,2
8,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3408,13599,4
9,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3408,6807,2
10,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3407,6802,2
11,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3407,6813,2
12,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3405,6722,2
13,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3402,6672,2
14,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3400,6803,2
15,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,16,3399,54040,16
16,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3398,6723,2
17,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3397,6791,2
18,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3397,13601,4
19,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3397,6780,2
20,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3396,6782,2
21,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3396,3396,1
22,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3395,6767,2
23,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3395,13479,4
24,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3394,13485,4
25,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3394,13564,4
26,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3394,13448,4
27,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,16,3391,53954,16
28,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3390,6700,2
29,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3390,6723,2
30,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3389,13510,4
31,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3388,13623,4
32,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3388,6708,2
33,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3383,6769,2
34,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3381,6471,2
35,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3380,6738,2
36,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3379,13515,4
37,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3374,13624,4
38,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3369,13408,4
39,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3367,13495,4
40,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,8,3365,27042,8
41,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3364,6407,2
42,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3363,6668,2
43,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3362,6675,2
44,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3356,6588,2
45,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3353,6722,2
46,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3341,6730,2
47,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3337,6707,2
48,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3337,6785,2
49,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3336,6732,2
50,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3335,6460,2
51,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,4,3335,13525,4
52,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3326,6555,2
53,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3320,6575,2
54,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3319,6639,2
55,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3314,6718,2
56,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,2,3301,6655,2
57,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,8,3269,23442,8
58,Neoverse-N1 BIOS NotSpecified CPU @ 2.0GHz,8,3194,26914,8
